WKT,Name,criminal,Copy of numbered
"POINT (13.767815 47.901174 0.0)",Altmünster am Traunsee,Franz Stangl,01
"POINT (14.035267 48.16542 0.0)",Wels,Franz Stangl,02
"POINT (14.28583 48.30694 0.0)",Linz,Franz Stangl,03
"POINT (14.113794 48.280928 0.0)",Schloss Hartheim,Franz Stangl,04
"POINT (11.7401 51.791638 0.0)",Bernburg (Saale),Franz Stangl,05
"POINT (22.568446 51.246454 0.0)",Lublin,Franz Stangl,06
"POINT (23.596133 51.446005 0.0)",Sobibor extermination camp,Franz Stangl,07
"POINT (22.052629 52.631025 0.0)",Treblinka II,Franz Stangl,08
"POINT (13.776818 45.649526 0.0)",Triest,Franz Stangl,09
"POINT (13.070276 47.773353 0.0)",Lager Glasenbach,Franz Stangl,10
"POINT (14.28583 48.30694 0.0)",Linz,Franz Stangl,11
"POINT (14.28583 48.30694 0.0)",Linz,Franz Stangl,12
"POINT (38.996815 34.802075 0.0)",Syria,Franz Stangl,13
"POINT (-46.639557 -23.555771 0.0)",São Paulo,Franz Stangl,14
"POINT (6.804476 51.216363 0.0)",Landgericht Düsseldorf,Franz Stangl,15
"POINT (6.773456 51.227741 0.0)",Düsseldorf,Franz Stangl,16
"POINT (11.238685 46.339176 0.0)",Termeno (Tramin),Josef Mengele,01
"POINT (12.220235 48.948103 0.0)",Mangolding,Josef Mengele,02
"POINT (10.277579 48.452934 0.0)",Günzburg,Josef Mengele,03
"POINT (11.433616 46.892672 0.0)",Vipiteno (Sterzing),Josef Mengele,04
"POINT (11.354836 46.498368 0.0)",Bozen,Josef Mengele,05
"POINT (8.945935 44.405889 0.0)",Red Cross Office Genua,Josef Mengele,06
"POINT (14.309304 40.923039 0.0)",prisoner-of-war camp Afragola,Erich Priebke,01
"POINT (12.569516 44.067829 0.0)",Internment camp Rimini,Erich Priebke,02
"POINT (11.433619 46.892672 0.0)",Sterzing,Erich Priebke,03
"POINT (8.960461 44.400006 0.0)",Via Albaro 38 (DAIE),Erich Priebke,04
"POINT (12.453389 41.902916 0.0)",Vatican,Erich Priebke,05
"POINT (8.903806 44.409293 0.0)",Port of Genoa,Erich Priebke,06
"POINT (-58.381559 -34.603684 0.0)",Buenos Aires,Erich Priebke,07
"POINT (-71.310278 -41.133472 0.0)",Bariloche,Erich Priebke,08
"POINT (12.496366 41.902784 0.0)",Rome,Erich Priebke,09
"POINT (8.947561 44.405517 0.0)",Argentinian Embassy Genua,Josef Mengele,07
"POINT (8.916454 44.409862 0.0)",Genua Port - North King,Josef Mengele,08
"POINT (-58.376969 -34.574974 0.0)",Buenos Aires Port - North King,Josef Mengele,09
"POINT (-58.424902 -34.578486 0.0)",Hotel Palermo - Buenos Aires,Josef Mengele,10
"POINT (-58.401343 -34.593624 0.0)",Haus Gerad Malbrances in Calle Arenales 2460,Josef Mengele,11
"POINT (-58.557866 -34.443112 0.0)",San Fernando,Adolf Eichmann,01
"POINT (-65.217444 -26.808285 0.0)",Province Tucuman,Adolf Eichmann,02
"POINT (-58.381559 -34.603684 0.0)",Buenos Aires,Adolf Eichmann,03
"POINT (-58.65702 -34.849588 0.0)",Mercedes Benz,Adolf Eichmann,04
"POINT (-58.569424 -34.461962 0.0)",Garibaldi Street in San Fernando,Adolf Eichmann,05
"POINT (12.56738 41.87194 0.0)",Italy,Gerhard Bohne,01
"POINT (12.56738 41.87194 0.0)",Italy,Gerhard Bohne,02
"POINT (6.773456 51.227741 0.0)",Düsseldorf,Gerhard Bohne,03
"POINT (12.561866 41.879861 0.0)",Via dei Glicini 27 (Rome),Gerhard Bohne,04
"POINT (8.94756 44.40551 0.0)",Argentinian Embassy Genoa,Gerhard Bohne,05
"POINT (8.903806 44.409293 0.0)",Port of Genoa,Gerhard Bohne,06
"POINT (-58.381559 -34.603684 0.0)",Buenos Aires,Gerhard Bohne,07
"POINT (-58.399524 -34.589488 0.0)",Calle de Peña 2484 (Buenos Aires),Gerhard Bohne,08
"POINT (-58.381559 -34.603684 0.0)",Buenos Aires,Gerhard Bohne,09
"POINT (10.451526 51.165691 0.0)",Germany,Gerhard Bohne,10
"POINT (8.682127 50.110922 0.0)",Frankfurt am Main,Gerhard Bohne,11
"POINT (9.501785 56.26392 0.0)",Denmark,Gerhard Bohne,12
"POINT (8.541694 47.376887 0.0)",Zürich,Gerhard Bohne,13
"POINT (-58.381559 -34.603684 0.0)",Buenos Aires,Gerhard Bohne,14
"POINT (-58.381559 -34.603684 0.0)",Buenos Aires,Gerhard Bohne,15
"POINT (10.451526 51.165691 0.0)",Germany,Gerhard Bohne,16
"POINT (22.050374 50.589532 0.0)",Rozwadów,Josef Schwammberger,01
"POINT (22.774429 49.782313 0.0)",Przemyśl,Josef Schwammberger,02
